xuhao,yield
MASBC10038S_1001U,3.26
MASBC10056S_3001,3.71
MASBC10056S_3003,4.97
MASBC10056S_3004U,3.78
MASBC10056S_3005,2.59
MASBC10056S_3006,3.34
MASBC10056S_3007,3.71
MASBC10056S_3008,3.85
MASBC10063S_5001U,4.30
MASBC10063S_5003U,4.30
MASBC10063S_5004,3.71
MASBC10063S_5005U,3.26
MASBC10063S_5006U,3.56
MASBC10063S_5007U,4.15
MASBC10063S_5008U,4.60
MASBC10063S_5009U,4.74
MASBC10065S_3001,4.67
MASBC10066S_4001U,3.85
SWW11019B001U,3.48
SWW11035B001,2.37
SWW11035B003,2.45
SWW11035B004,3.26
SWW11036B001,3.19
SWW11041B001U,3.71
SWW11041B003,3.34
SWW11041B004U,2.59
SWW11049B001,2.00
SWW11058B001E,4.30
SWW11058B003,2.00
SWW11061B001U,2.59
SWW11081B001,2.89
SWW11085B001,2.67
SWW11085B003E,4.23
SWW11085B004,5.04
SWW11085B005,3.26
SWW11088B001,2.59
SWW11091B001,3.78
SWW11091B003E,3.93
SWW11103B001R,4.30
SWW11108B001,2.97
SWW11108B003,4.00
SWW11110B001,3.19
SWW11144B001,2.89
SWW11163B001,2.52
SWW11181B001U,4.67
SWW11183B001,2.82
SWW11183B003U,3.56
SWW11190B001E,4.00
SWW11307B001,3.41
SWW11316B001E,4.15
SWW11317B001U,4.60
SWW11317B003,4.60
SWW11317B004U,3.63
SWW11317B005U,3.78
SWW11317B006,4.15
SWW11317B007U,4.45
SWW11317B008U,3.41
SWW11318B001,2.97
SWW11318B003,1.19
SWW11333B001U,4.52
SWW11348B001U,4.89
SWW14007DH1,2.96
SWW14007DH10,5.92
SWW14007DH13,4.71
SWW14007DH15,5.85
SWW14007DH16,5.18
SWW14007DH17,4.51
SWW14007DH18,6.32
SWW14007DH19,4.98
SWW14007DH2,4.77
SWW14007DH20,3.97
SWW14007DH21,4.10
SWW14007DH22,3.50
SWW14007DH23,5.38
SWW14007DH24,4.17
SWW14007DH25,3.03
SWW14007DH26,3.77
SWW14007DH27,4.37
SWW14007DH28,2.62
SWW14007DH29,5.25
SWW14007DH3,4.84
SWW14007DH30,5.25
SWW14007DH31,4.77
SWW14007DH32,3.90
SWW14007DH33,5.11
